Set,Word
1,and
1,are
1,can
1,come
1,funny
1,go
1,he
1,is
1,jump
1,like
1,little
1,look
1,my
1,of
1,play
1,red
1,run
1,said
1,see
1,the
1,this
1,to
1,up
1,you
2,a
2,at
2,away
2,big
2,blue
2,down
2,for
2,good
2,green
2,have
2,here
2,I
2,in
2,it
2,me
2,not
2,on
2,one
2,ran
2,saw
2,three
2,too
2,we
2,will
2,yellow
2,yes
3,all
3,am
3,around
3,black
3,but
3,by
3,call
3,came
3,do
3,eat
3,fast
3,get
3,going
3,into
3,make
3,no
3,old
3,out
3,she
3,some
3,stop
3,two
3,was
3,who
4,after
4,as
4,be
4,brown
4,cold
4,did
4,fly
4,from
4,give
4,going
4,had
4,help
4,her
4,him
4,his
4,if
4,its
4,on
4,round
4,so
4,soon
4,ten
4,under
4,your
5,find
5,gave
5,got
5,has
5,know
5,let
5,live
5,made
5,many
5,may
5,new
5,now
5,over
5,put
5,that
5,them
5,then
5,they
5,walk
5,went
5,were
5,what
5,when
5,with
6,about
6,again
6,always
6,any
6,ask
6,ate
6,could
6,does
6,first
6,found
6,how
6,long
6,once
6,or
6,our
6,say
6,take
6,tell
6,there
6,upon
6,us
6,want
6,wish
6,would
7,because
7,been
7,before
7,bring
7,don't
7,done
7,every
7,goes
7,much
7,must
7,never
7,only
7,open
7,pull
7,show
7,sit
7,small
7,their
7,these
7,think
7,those
7,very
7,where
7,which
7,work
8,buy
8,draw
8,drink
8,fall
8,grow
8,hold
8,hot
8,just
8,keep
8,myself
8,off
8,own
8,pick
8,please
8,pretty
8,read
8,shall
8,six
8,today
8,try
8,use
8,well
8,why
8,write
9,bath
9,best
9,better
9,carry
9,clean
9,cut
9,eight
9,far
9,five
9,four
9,full
9,hurt
9,kind
9,laugh
9,light
9,right
9,seven
9,sing
9,sleep
9,start
9,thank
9,together
9,warm
9,wash
9,white
